Host, IPv4, Avg RTT, Min RTT, Max RTT, IPv6, Avg RTT, Min RTT, Max RTT
google.com,172.217.23.46,7.732,5.445,13.564,2a00:1450:4009:80a::200e,50.630,5.400,156.175
google.co.uk,216.58.206.67,9.278,5.625,24.255,2a00:1450:4009:80a::2003,36.738,5.569,204.673
google.com.au,172.217.23.35,29.434,5.098,77.144,2a00:1450:4009:815::2003,15.639,5.620,36.736
youtube.com,172.217.23.46,64.687,5.292,271.641,2a00:1450:4009:80a::200e,35.852,5.064,228.263
instagram.com,34.206.131.239,82.477,76.647,93.797,2406:da00:ff00::22cf:19d1,112.402,79.654,254.397
yandex.ru,77.88.55.80,54.847,42.596,77.640,2a02:6b8:a::a,52.533,40.273,115.672
wikipedia.org,91.198.174.192,15.778,10.267,25.398,2620:0:862:ed1a::1,14.588,11.152,24.226
linkedin.com,108.174.10.10,108.147,78.884,191.788,2620:109:c002::6cae:a0a,88.763,79.597,144.203
yahoo.com,98.138.253.109,109.076,103.092,138.289,2001:4998:58:c02::a9,88.668,82.492,114.259
facebook.com,157.240.1.35,41.211,5.008,137.894,2a03:2880:f129:83:face:b00c:0:25de,5.464,4.636,6.524
bbc.co.uk,212.58.246.78,10.223,5.667,32.886,2001:41c1:4008::bbc:1,45.037,5.686,157.758
